id,time,lat,lon,mag,along_strike_distance
usp0004dzy,1990-08-28 03:03:12.470000,52.85,-31.887,5.3,6563.04038865
usp0004v9n,1991-08-13 02:11:16.360000,52.791,-34.944,5.5,6689.73275936
usp0006tm6,1995-02-27 13:29:00.300000,52.753,-34.782,5.1,6679.33942122
usp0006tmf,1995-02-27 19:07:05.680000,52.744,-34.778,5.1,6678.40813508
usp0006tpu,1995-03-01 20:09:32.230000,52.668,-34.854,5.3,6675.44147561
usp00076up,1995-11-14 16:18:50.860000,52.592,-32.339,5.1,6559.49639152
usp000795r,1995-12-17 23:48:31.430000,52.665,-32.113,5.5,6556.31654587
usp0008fz5,1998-02-14 06:54:19.230000,52.612,-32.639,5.4,6573.97493011
usp0008g2q,1998-02-16 13:36:15.410000,52.693,-33.747,5.5,6628.68740756
usp0008g3e,1998-02-16 23:53:19.720000,52.718,-33.677,6.8,6627.76725923
usp0008qen,1998-06-25 02:15:48.570000,52.704,-34.797,5.4,6675.90740711
usp00095b3,1999-03-28 06:07:20.570000,52.641,-34.698,5.4,6666.22126056
usp000ajg6,2001-07-14 01:14:56.130000,52.764,-34.935,5.1,6687.07686539
usp000ash7,2001-11-09 05:36:09.860000,53.105,-35.15,5.4,6725.09431552
usp000crvm,2004-04-06 21:40:00.850000,52.803,-34.729,5.4,6681.17148284
usp000g5n4,2008-05-06 08:47:10.870000,53.475,-35.129,5.2,6755.05560654
usp000gszh,2009-01-22 14:34:28.560000,53.032,-35.101,5.37,6716.83185807
usp000gwnj,2009-04-28 19:54:35.050000,52.666,-35.028,5.6,6683.06334327
usb000sfbs,2014-09-23 19:18:25.840000,53.1535,-35.1019,5.4,6727.00893876
usb000tp5k,2015-02-13 18:48:17.890000,52.5081,-31.8737,5.613,6532.56248366
usb000tp5q,2015-02-13 18:59:12.230000,52.6487,-31.9016,7.1,6546.02892559
usb000tp6g,2015-02-13 19:33:10.610000,52.6242,-32.3261,5.532,6561.7484713
us10008dm9,2017-03-31 17:25:23.130000,52.6741,-32.3187,5.5,6565.77343413
us1000dvu2,2018-05-02 10:13:19.820000,52.6302,-32.105,5.3,6552.94545194
us70005c9r,2019-09-05 11:52:06.491000,52.5864,-31.916,5.5,6541.18374584
us60006plg,2019-12-09 22:36:30.851000,52.856,-34.9205,5.4,6694.11539731
us70008yfh,2020-04-17 12:05:07.451000,52.7452,-34.6262,5.3,6671.76371536
