id,time,lat,lon,mag,along_strike_distance
usp0005w7k,1993-07-13 23:31:20.330000,-42.697,42.192,5.451,6329.589624
usp00081ec,1997-04-28 12:07:37.830000,-42.504,42.686,6.8,6349.53258685
usp0008nch,1998-05-19 10:41:13.130000,-43.187,41.809,5.6,6337.33339258
usp0009a73,1999-06-20 07:38:09.800000,-41.139,42.981,5.3,6281.29256197
usp000cyzd,2004-06-27 12:51:50.350000,-40.921,43.306,5.3,6289.89002211
usp000cz12,2004-06-28 00:54:05.210000,-40.774,43.319,5.0,6281.52542905
usp000d0ae,2004-07-17 03:38:57.780000,-40.7,43.229,5.0,6270.60298641
usp000d1e5,2004-08-04 03:46:16.900000,-40.779,43.201,5.3,6273.64105254
usp000dqc9,2005-05-10 06:40:22.130000,-42.737,42.333,5.3,6341.51238217
usp000duh0,2005-07-04 11:36:05.650000,-42.283,42.37,6.3,6314.04089375
usp000dzyh,2005-09-22 16:19:42.880000,-40.868,43.255,5.3,6283.00836497
usp000ezna,2006-12-06 12:05:49.500000,-43.044,41.762,5.1,6324.67214107
usp000f3ca,2007-01-23 04:16:07.370000,-43.139,41.647,5.5,6323.62390775
usp000f79k,2007-03-24 07:39:38.650000,-42.625,42.035,5.4,6314.48912252
usp000g2n0,2008-03-29 15:12:03.180000,-41.055,42.525,5.5,6244.6241543
usp000gyj0,2009-06-24 04:40:05.540000,-41.693,42.582,5.3,6289.74046415
usp000gyvu,2009-07-02 22:15:29.930000,-41.776,42.459,5.3,6286.83739339
usp000gzea,2009-07-19 03:28:21.040000,-41.657,42.25,5.1,6264.99810099
usc000hjkk,2013-06-09 00:36:27.300000,-42.688,41.669,5.451,6294.71268966
us1000dnuj,2018-04-19 21:09:17,-42.7797,42.1877,6.0,6334.79293155
us2000g0v1,2018-07-10 04:19:15.240000,-41.0643,43.4213,5.37,6306.91520388
us2000j7dn,2019-01-22 19:01:43.580000,-43.1219,42.3568,6.7,6368.57423151
