id,time,lat,lon,mag,group
iscgem888269,1956-05-19 20:02:19,-42.182,41.962,6.3,-1
iscgem884698,1958-07-08 22:48:40,-42.899,42.353,6.0,-1
usp00004b3,1973-11-28 08:12:31.400000,-41.861,42.77,6.058,-1
usp0000q52,1977-08-17 10:41:41.400000,-40.867,42.854,5.451,-1
usp0001dc9,1981-04-26 02:40:09.410000,-40.848,43.387,5.37,-1
usp0001f87,1981-08-12 06:17:01.250000,-42.807,41.706,5.451,-1
usp0002611,1984-07-27 21:40:15.180000,-40.999,43.195,5.1,-1
usp000262t,1984-07-29 18:15:08.020000,-40.946,43.422,5.3,-1
usp0002636,1984-07-30 00:10:32.760000,-41.001,43.425,5.3,-1
usp000266g,1984-08-03 12:28:43.940000,-40.929,43.274,5.5,-1
usp000266p,1984-08-03 17:16:24.190000,-41.055,43.406,5.37,-1
usp00026hk,1984-08-19 06:34:45.300000,-41.039,43.182,5.775,-1
usp00026s1,1984-08-27 02:14:06.410000,-41.271,43.073,5.532,-1
usp0002yxy,1986-10-14 13:07:19.130000,-43.142,41.776,6.2,-1
usp0005w7k,1993-07-13 23:31:20.330000,-42.697,42.192,5.451,-1
usp00081ec,1997-04-28 12:07:37.830000,-42.1646801664,42.4054271055,6.8,1
usp0008nch,1998-05-19 10:41:13.130000,-43.0818538918,41.7019317165,5.6,1
usp0009a73,1999-06-20 07:38:09.800000,-41.0981292201,42.8673754795,5.3,1
usp000cyzd,2004-06-27 12:51:50.350000,-41.6945359205,42.6239371923,5.3,1
usp000cz12,2004-06-28 00:54:05.210000,-41.6857563154,42.614298863,5.0,1
usp000d0ae,2004-07-17 03:38:57.780000,-41.6781893183,42.6026943445,5.0,1
usp000d1e5,2004-08-04 03:46:16.900000,-41.6758553945,42.5773014917,5.3,1
usp000dqc9,2005-05-10 06:40:22.130000,-42.6300145897,42.3524451749,5.3,1
usp000duh0,2005-07-04 11:36:05.650000,-42.0588867011,42.4831425439,6.3,1
usp000dzyh,2005-09-22 16:19:42.880000,-41.0495089788,42.1811248999,5.3,1
usp000ezna,2006-12-06 12:05:49.500000,-42.840160253,41.7989049969,5.1,1
usp000f3ca,2007-01-23 04:16:07.370000,-42.9549021565,41.79954456,5.5,1
usp000f79k,2007-03-24 07:39:38.650000,-42.5473334906,42.2269433831,5.4,1
usp000g2n0,2008-03-29 15:12:03.180000,-41.7991607765,42.6213953134,5.5,1
usp000gyj0,2009-06-24 04:40:05.540000,-41.7017442623,42.6128947312,5.3,1
usp000gyvu,2009-07-02 22:15:29.930000,-41.7374323839,42.5927605877,5.3,1
usp000gzea,2009-07-19 03:28:21.040000,-41.6945362055,42.6239385856,5.1,1
usc000hjkk,2013-06-09 00:36:27.300000,-42.6616506357,41.864736704,5.451,1
us1000dnuj,2018-04-19 21:09:17,-42.7073394363,42.2520622523,6.0,1
us2000g0v1,2018-07-10 04:19:15.240000,-41.5982762411,42.7359174021,5.37,1
us2000j7dn,2019-01-22 19:01:43.580000,-42.8825545605,42.1141749499,6.7,1
us6000aadz,2020-06-12 02:53:22.587000,-42.8203861283,41.8001590712,5.7,1
us6000badi,2020-08-06 23:36:44.553000,-41.9702780792,42.5075795531,6.3,1
us6000bbil,2020-08-09 16:30:32.347000,-41.697642199,42.6179444492,5.3,1
