id,time,lat,lon,mag,group
iscgem894868,1951-10-31 11:43:48,-57.988,-9.889,6.2,-1
iscgem872443,1963-06-02 21:04:22,-58.503,-15.44,6.2,-1
iscgem815374,1968-11-26 00:03:13,-57.609,-6.883,5.6,-1
usp000019y,1973-04-07 12:22:47.300000,-58.302,-13.394,6.554,-1
usp00001eh,1973-04-18 00:36:07.400000,-58.305,-13.897,5.37,-1
usp00004vg,1974-01-09 04:59:39,-59.026,-16.396,5.451,-1
usp00006a4,1974-05-11 13:01:05.400000,-57.901,-7.267,6.058,-1
usp00006w8,1974-06-25 12:17:26.100000,-57.493,-6.796,5.37,-1
usp00006wm,1974-06-26 03:59:49.100000,-57.498,-6.788,5.532,-1
usp0000853,1974-09-25 08:30:47.100000,-57.967,-9.202,5.624,-1
usp0000n8m,1977-04-04 04:58:36.800000,-58.053,-10.502,5.451,-1
usp0000scc,1978-01-05 16:42:35.400000,-58.441,-16.141,5.37,-1
usp00015am,1980-02-04 03:45:56,-57.907,-7.188,6.244,-1
usp00018cy,1980-06-21 20:19:26.400000,-57.973,-10.656,6.18,-1
usp0001rfz,1982-12-15 19:53:43.750000,-58.042,-9.845,5.694,-1
usp000256j,1984-06-22 15:55:28.400000,-58.318,-15.786,6.4,-1
usp00026pp,1984-08-24 16:53:07.130000,-58.917,-16.521,5.8,-1
usp0002hsv,1985-08-15 20:38:46.140000,-57.41,-7.048,5.532,-1
usp0002wu0,1986-08-02 20:35:36.200000,-58.265,-15.319,5.5,-1
usp000321r,1987-01-30 23:42:30.920000,-58.337,-14.565,5.37,-1
usp0003pqx,1988-12-10 07:30:59.360000,-58.076,-10.401,5.7,-1
usp0004251,1989-11-17 22:46:33.890000,-58.909,-16.056,5.4,-1
usp000482q,1990-04-18 10:33:48.950000,-57.968,-10.316,5.4,-1
usp0005411,1992-03-08 18:45:22.740000,-58.055,-10.559,5.451,-1
usp0006jh8,1994-09-15 23:47:30.500000,-57.9433363661,-9.184401763,6.0,1
usp00084b9,1997-07-04 09:54:02.700000,-58.1843190137,-11.6563167952,5.5,1
usp0008qc2,1998-06-23 14:36:54.680000,-58.194578751,-13.2813480193,5.6,1
usp0009dfc,1999-08-21 21:51:11.470000,-58.0754355411,-13.2011871997,6.2,1
usp000a7zr,2001-01-19 09:04:34.560000,-57.8942575058,-10.0075273693,6.0,1
usp000becf,2002-10-12 14:48:36.140000,-58.857,-14.196,5.37,-1
usp000bsup,2003-03-17 04:10:06.450000,-58.1571403764,-11.2888710261,5.8,1
usp000cmqq,2004-02-21 02:34:42.700000,-58.266989906,-14.8230264456,6.6,1
usp000cu70,2004-05-05 04:57:52.630000,-58.1523109094,-11.5185460551,5.9,1
usp000cxs6,2004-06-12 12:41:48.890000,-57.9901237552,-8.42517734579,5.1,1
usp000eshe,2006-09-05 16:24:13.970000,-58.1396105255,-7.8011710587,5.1,1
usp000f6az,2007-03-08 11:14:31.510000,-57.9860693549,-8.49423690222,6.2,1
usp000gvx1,2009-04-08 06:26:54.680000,-57.9349233021,-7.79604744291,5.6,1
gcmtc200910090414a,2009-10-09 04:15:20,-58.1865124757,-13.8803155792,5.0,1
usp000h5ra,2010-01-05 04:55:39.410000,-58.2224293434,-14.6268799981,6.8,1
usp000h88q,2010-02-28 16:13:45.160000,-57.9731127233,-8.41176765876,5.4,1
usp000hmws,2010-10-09 20:01:26.640000,-57.9437089607,-9.24839671851,5.2,1
usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,1
usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,1
usp000j2zm,2011-06-11 11:21:51.890000,-58.1960996719,-13.6382176417,5.4,1
usb000gwu2,2013-05-16 05:57:00.710000,-57.9045204028,-7.75208642104,5.6,1
usc000kmfw,2013-10-24 19:25:10.930000,-58.1305261734,-13.6196660047,6.7,1
us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,1
us70005e1r,2019-09-10 09:53:00.772000,-58.279221739,-15.1680890134,5.37,1
us700063mh,2019-11-05 20:52:01.485000,-57.9635136159,-9.38255050737,6.3,1
