id,time,lat,lon,mag,group
iscgem893113,1952-07-06 06:10:48,-0.008,-16.685,5.6,-1
iscgem891504,1953-02-19 15:17:45,-0.147,-17.987,6.4,-1
iscgem891920,1953-08-14 22:23:59,-0.792,-20.188,5.9,-1
iscgem890586,1954-04-30 23:04:34,-0.242,-18.669,6.5,-1
iscgem890775,1954-06-20 22:07:57,0.09,-17.84,5.7,-1
iscgem890935,1954-08-06 16:19:50,-1.297,-23.507,5.9,-1
iscgem888712,1956-09-20 23:03:09,-1.291,-24.021,6.0,-1
iscgem885091,1958-09-03 03:44:27,-0.068,-17.816,6.2,-1
iscgem882194,1959-06-07 13:39:42,-0.119,-17.711,5.8,-1
iscgem882814,1959-09-04 18:26:44,-1.329,-23.849,5.8,-1
iscgem876144,1961-02-18 17:02:10,-1.518,-15.902,5.6,-1
iscgem876528,1961-05-06 19:38:07,-1.518,-15.362,5.8,-1
iscgem874198,1962-02-04 21:29:36,-0.68,-20.152,6.0,-1
iscgem874425,1962-03-26 12:04:56,-0.503,-19.609,5.8,-1
iscgem872683,1963-07-08 11:05:04,-0.062,-17.929,5.6,-1
iscgem871534,1964-01-27 01:12:21,-0.058,-17.863,5.6,-1
iscgem864726,1964-09-28 05:04:54,-1.38,-24.048,5.6,-1
iscgem854661,1965-08-16 12:36:22,-0.53,-19.951,6.2,-1
iscgem852463,1965-11-15 11:18:50,-0.224,-18.645,6.1,-1
iscgem842636,1966-10-19 08:01:34,-1.571,-15.611,7.0,-1
iscgem840094,1967-01-24 09:29:11,-0.922,-21.081,6.5,-1
iscgem789478,1970-12-25 12:53:36,-0.394,-19.24,5.9,-1
iscgem780929,1971-08-05 01:58:53,-0.773,-22.082,6.9,-1
usp00002wu,1973-07-29 01:14:17.300000,-1.097,-24.679,5.532,-1
usp000038s,1973-08-28 15:01:59.100000,-0.189,-18.027,6.616,-1
usp000045m,1973-11-15 06:05:57.400000,-1.361,-15.935,5.532,-1
usp000045r,1973-11-15 15:06:35.500000,-1.374,-15.791,5.775,-1
usp00004ua,1974-01-06 14:32:39.900000,-1.503,-15.525,5.613,-1
usp00005qm,1974-03-23 21:40:34.800000,0.345,-24.667,5.686,-1
usp00007k8,1974-08-12 14:17:05.100000,-0.021,-16.463,5.37,-1
usp00008hv,1974-10-23 11:46:56,-1.008,-15.968,5.562,-1
usp00009e0,1975-01-07 08:31:14.700000,-0.871,-15.952,5.37,-1
usp0000d4j,1975-10-13 11:57:40.200000,-0.916,-22.052,5.37,-1
usp0000hv2,1976-08-16 02:27:38.600000,-0.778,-16.046,5.532,-1
usp0000mdy,1977-01-31 02:16:57.300000,-1.249,-23.528,5.37,-1
usp0000tfu,1978-03-19 18:43:40.800000,-1.481,-15.611,5.694,-1
usp0000yyx,1979-02-22 18:30:58.400000,-0.161,-17.72,5.872,-1
usp00011ka,1979-06-28 04:14:43.900000,0.384,-24.966,5.856,-1
usp000153m,1980-01-22 04:06:45.400000,-1.444,-15.596,5.37,-1
usp0001ah2,1980-10-27 08:46:40.800000,-0.146,-24.85,5.775,-1
usp0001cga,1981-03-03 09:21:06.880000,-0.415,-19.778,5.37,-1
usp0001ckk,1981-03-08 08:43:45.440000,-0.159,-24.82,5.686,-1
usp0001cku,1981-03-08 13:35:43.880000,-0.205,-24.586,5.562,-1
usp0001ejv,1981-07-07 21:10:57.780000,-0.166,-18.837,6.368,-1
usp0001g1e,1981-09-22 06:29:22.360000,-1.142,-24.496,5.37,-1
usp0001ggd,1981-10-16 15:43:20.160000,-0.2,-16.512,5.81,-1
usp0001hvb,1982-01-03 14:09:50.450000,-0.972,-21.87,6.43,-1
usp0001hwe,1982-01-05 13:44:43.570000,-0.895,-21.925,5.532,-1
usp0001mj4,1982-05-26 20:04:04.890000,-0.322,-19.332,5.5,-1
usp0001nzy,1982-08-12 08:41:49.310000,-1.568,-24.291,5.872,-1
usp0001paz,1982-08-30 08:39:25.240000,0.002,-17.599,5.37,-1
usp0001pb3,1982-08-30 11:20:22.470000,-0.033,-17.697,5.562,-1
usp0001pyb,1982-10-01 05:35:47.360000,-1.635,-15.609,5.5,-1
usp0001r7y,1982-12-02 03:20:13.950000,-1.204,-23.75,5.532,-1
usp0001y73,1983-09-08 20:36:12.870000,0.175,-16.961,5.37,-1
usp0001ynt,1983-09-25 18:41:17.040000,-1.102,-24.42,5.451,-1
usp0001yz7,1983-10-13 13:06:38.220000,-0.854,-21.816,5.856,-1
usp0001zzg,1983-11-22 05:31:24.580000,-1.32,-15.827,5.37,-1
usp00020p6,1983-12-21 07:09:08.160000,-0.055,-17.873,5.37,-1
usp00023sd,1984-04-22 06:14:21.580000,-0.541,-19.857,6.2,-1
usp0002814,1984-10-09 11:23:12.550000,-0.556,-19.787,5.4,-1
usp00029vv,1984-12-08 12:24:41.430000,-1.068,-23.454,5.9,-1
usp0002fh5,1985-06-04 12:06:03.770000,-0.379,-19.541,5.7,-1
usp0002gwe,1985-07-18 22:35:52.890000,0.22,-16.795,5.37,-1
usp0002vbx,1986-06-24 06:56:54.590000,-0.085,-17.824,6.4,-1
usp0002vqs,1986-07-05 10:22:09.150000,-0.394,-16.127,5.37,-1
usp0002x26,1986-08-11 19:43:13.180000,-0.075,-17.852,5.3,-1
usp000318g,1986-12-29 12:39:19.410000,-0.592,-19.835,5.4,-1
usp000323b,1987-02-01 06:56:01.350000,-0.114,-17.789,5.6,-1
usp000338b,1987-03-12 23:10:30.780000,-0.268,-18.147,5.5,-1
usp00034ra,1987-05-05 10:50:55.370000,-0.003,-19.152,6.2,-1
usp00035m4,1987-06-07 14:48:49.990000,-0.378,-19.076,5.8,-1
gcmtb082788d,1988-08-27 16:52:24,0.89,-20.99,5.5,-1
usp0003kez,1988-08-27 16:52:24.550000,-0.941,-20.93,5.5,-1
usp0003kte,1988-09-08 20:14:47,-0.831,-22.291,5.2,-1
usp0003rhy,1989-02-04 15:51:52.330000,0.082,-16.658,5.8,-1
usp0003wcd,1989-06-17 20:47:14.620000,-1.437,-24.169,5.5,-1
usp0003x5d,1989-07-09 09:46:39.620000,-1.577,-15.548,5.7,-1
usp0003xaq,1989-07-14 15:43:18.130000,-1.472,-15.546,5.8,-1
