id,time,lat,lon,mag,group
usp0006j75,1994-09-10 13:34:16.940000,-9.13930547405,-108.661700001,5.5,1
usp0006udt,1995-03-19 15:59:19.890000,-9.19024350214,-109.887306316,5.5,1
usp0008278,1997-05-13 00:56:46.910000,-9.13105312873,-109.987298026,5.3,1
usp000854k,1997-07-21 07:46:40.130000,-8.9335957292,-108.36516942,5.4,1
usp0008w6a,1998-10-08 07:36:28.710000,-9.11561211189,-109.902152409,5.5,1
usp0008z9f,1998-12-07 05:19:50.170000,-9.06859520528,-108.950730431,5.37,1
usp00095js,1999-03-31 23:18:03.040000,-9.11910922045,-109.810173523,5.3,1
usp000apby,2001-09-17 16:43:40.040000,-9.12415617468,-109.733960827,5.5,1
usp000c7b3,2003-09-12 08:17:37.570000,-9.10530248408,-108.998378801,5.5,1
usp000e295,2005-10-19 20:19:24.130000,-9.11976882154,-109.810002732,5.4,1
usp000enwp,2006-07-17 21:04:19.710000,-9.0218156167,-109.374887489,5.2,1
usp000f303,2007-01-19 14:47:27.380000,-9.11104491073,-109.073318697,5.2,1
usp000fmwd,2007-09-11 06:21:15.270000,-9.11003021268,-109.699513778,5.5,1
usp000fwee,2008-01-10 23:52:30.110000,-9.06769820472,-108.742595042,5.1,1
usp000g206,2008-03-21 20:36:14.290000,-9.076849045,-109.807800371,5.2,1
usp000ge4u,2008-08-07 22:58:33.060000,-9.16313583459,-109.84173268,5.6,1
usp000gm87,2008-10-28 20:42:42.890000,-8.99620773905,-108.399398155,5.3,1
usp000gm8w,2008-10-29 01:35:58.950000,-8.96147164907,-108.417371092,5.7,1
usp000gmeh,2008-10-30 15:15:41.140000,-9.03722953987,-108.41228413,6.1,1
usp000gsht,2009-01-13 07:30:45.130000,-9.06133443624,-109.407452786,5.2,1
gcmtc200908260357a,2009-08-26 03:57:20,-9.08918773427,-109.059559859,5.1,1
usp000hv40,2011-02-26 17:17:52.090000,-9.19377611065,-109.887548293,5.4,1
usp000j5d2,2011-07-23 23:25:47.880000,-9.0620307918,-109.399210042,5.4,1
usp000j8fp,2011-09-23 19:02:48.240000,-9.1021490008,-109.725513897,5.9,1
usp000j8fx,2011-09-23 22:44:56.690000,-9.11104305409,-109.785057125,5.4,1
usp000jv53,2012-11-07 10:46:40.800000,-9.02261148605,-108.953804871,5.451,1
usp000jw2m,2012-11-26 00:17:14.860000,-9.09083098864,-108.650922175,5.4,1
usb000m425,2014-01-19 04:30:53.550000,-9.0956936488,-108.538206823,5.3,1
us200024xr,2015-04-08 03:42:12.720000,-9.08915908599,-109.277015191,5.451,1
us10003xaf,2015-11-11 06:26:33.730000,-9.12101382548,-108.733787251,5.6,1
us10005dzs,2016-05-05 11:01:46.790000,-8.96639956117,-108.376584939,5.6,1
us2000628j,2016-06-05 21:42:36.130000,-9.19015378642,-109.954504398,5.37,1
us20007zz8,2016-12-11 14:33:12.900000,-9.14059753949,-109.981622528,5.8,1
us2000b3ii,2017-10-10 14:36:02.520000,-9.11498064521,-109.821266516,5.4,1
us1000f0fv,2018-06-24 18:43:43.340000,-9.02143964323,-108.468280397,5.9,1
