id,time,lat,lon,mag,group
iscgem891555,1953-03-16 05:09:50,-13.704,-112.492,5.9,-1
iscgem882968,1959-09-20 06:08:04,-13.628,-111.667,6.0,-1
usp00008bz,1974-10-11 07:43:27.300000,-13.277,-112.303,5.872,-1
usp0000v13,1978-06-13 02:54:51.400000,-13.37,-111.34,5.996,-1
usp00011rw,1979-07-08 01:06:31.400000,-13.224,-112.151,5.872,-1
usp0001mj8,1982-05-27 01:39:19.570000,-13.379,-111.615,5.613,-1
usp0001zmm,1983-11-07 13:35:21.940000,-13.31,-111.027,5.37,-1
usp00029rm,1984-12-03 13:13:05.350000,-13.21,-112.067,5.624,-1
usp0002puz,1986-01-07 16:37:47.940000,-13.361,-111.326,5.6,-1
usp0003q34,1988-12-22 14:49:51.260000,-13.238,-111.247,5.7,-1
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,-1
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,-1
usp0005a9w,1992-07-05 01:49:56.170000,-13.3686832629,-111.43750305,5.8,1
usp0006rkh,1995-01-19 11:18:32.050000,-13.2762373907,-111.740057785,5.4,1
usp0007j02,1996-06-01 00:27:30.930000,-13.2420493813,-112.377057178,5.5,1
usp0009fc4,1999-10-03 02:10:14.070000,-13.3724722372,-111.439577937,5.7,1
usp000am71,2001-08-10 23:49:36.430000,-13.33573299,-111.956705787,5.2,1
usp000cate,2003-10-19 17:28:36.780000,-13.3378984309,-111.59913509,5.2,1
usp000ck2z,2004-01-31 07:32:59.060000,-13.3686661373,-111.437449122,5.5,1
usp000d102,2004-07-28 08:06:45.210000,-13.3183584092,-111.819482594,5.2,1
usp000d19e,2004-08-01 19:44:47.560000,-13.2629134791,-112.352629215,5.8,1
usp000fmnt,2007-09-08 00:18:49.380000,-13.3320135604,-111.831008628,5.1,1
usp000fu15,2007-12-08 06:53:48.270000,-13.279163721,-112.068689302,5.1,1
usp000fu17,2007-12-08 07:13:19.030000,-13.3011490976,-112.11318241,5.0,1
usp000gehn,2008-08-13 01:32:45.670000,-13.3699870119,-111.449302904,5.7,1
usp000gx93,2009-05-18 09:50:17.170000,-13.2754158384,-111.973937212,5.0,1
usp000h7an,2010-02-14 22:58:40.440000,-13.3503886074,-111.494338517,5.0,1
usp000hbf4,2010-04-15 20:52:31.440000,-13.2571559998,-112.357280665,5.6,1
usp000hbfc,2010-04-15 22:58:53.900000,-13.3130910048,-112.144015487,5.1,1
usp000hbv9,2010-04-24 23:33:32.870000,-13.314872003,-111.816922694,5.2,1
usp000hnyg,2010-11-03 04:22:28.040000,-13.2944081087,-112.101607813,5.0,1
usp000hrjb,2010-12-22 14:02:43.520000,-13.325456079,-111.947673776,5.1,1
usp000hvcy,2011-03-05 17:01:12.980000,-13.374655278,-111.505614596,5.0,1
usp000j0me,2011-04-26 10:43:07.530000,-13.3733212124,-111.425720871,5.5,1
us20002vn3,2015-07-07 07:01:42.740000,-13.2414114013,-112.381495775,5.9,1
us20002vrz,2015-07-07 16:08:03.640000,-13.3712204511,-111.431445062,5.7,1
us20002vsv,2015-07-07 18:04:47.110000,-13.3522158902,-111.496280473,5.3,1
us1000hxrb,2018-11-29 02:33:54.040000,-13.2953797632,-111.948667155,5.37,1
us70005lx1,2019-09-26 19:00:41.378000,-13.3696640527,-111.425222059,5.5,1
