id,time,lat,lon,mag,group
usp00077ey,1995-11-25 03:17:56.190000,-49.6833719649,117.040674821,5.5,1
usp0007mh8,1996-07-24 02:52:22.620000,-49.3873053447,116.671543884,5.2,1
usp000858r,1997-07-23 23:33:28.020000,-49.5726002027,116.978452534,5.3,1
usp000fm02,2007-08-30 07:34:43.800000,-49.5669568996,116.974559659,5.1,1
usp000g9tg,2008-06-16 10:17:51.010000,-49.3352724091,117.119923132,5.0,1
usp000hjqv,2010-08-25 04:06:17.340000,-49.5669398827,116.974472477,5.0,1
usp000jbx1,2011-12-07 03:29:03.360000,-49.5923053984,116.983348533,5.0,1
usp000jv7v,2012-11-08 17:38:05.320000,-49.7009473966,117.049671255,5.532,1
usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,1
us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,1
