id,time,lat,lon,mag,along_strike_distance
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,671.497492524
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,519.434623397
usp000733j,1995-09-08 16:03:37.580000,-9.126,67.322,5.6,532.306942452
usp00075wy,1995-10-28 17:39:54.420000,-8.957,68.076,5.624,609.232216561
usp0008xzt,1998-11-10 20:26:35.900000,-8.861,67.157,5.37,538.124168253
usp0008z30,1998-12-02 23:41:17.800000,-9.144,67.459,5.9,542.73971383
usp00098nn,1999-05-24 14:38:11.480000,-8.183,68.053,5.3,661.465801576
usp00099ce,1999-06-06 04:33:33.990000,-8.117,67.879,5.37,652.436857977
usp0009kcx,1999-12-28 07:30:33.990000,-7.711,67.773,5.0,676.313073286
usp000crxd,2004-04-07 14:49:52.530000,-9.307,67.087,5.3,499.650148205
usp000cwvf,2004-06-01 20:47:30.430000,-9.037,67.253,5.7,532.894735819
usp000czds,2004-07-02 11:57:09.630000,-8.975,67.614,5.7,567.727810237
usp000d6ez,2004-10-15 22:40:25.070000,-8.051,68.084,5.0,673.866787737
usp000enfc,2006-07-12 14:44:45.960000,-8.548,67.814,5.7,614.958350627
usp000eupy,2006-10-08 11:56:54.150000,-8.974,67.559,5.3,563.106396192
usp000fj3e,2007-08-07 10:12:21.440000,-9.211,67.093,5.0,507.005825972
usp000ftxc,2007-12-06 10:25:45.990000,-9.365,66.909,5.4,480.571924683
usp000fuky,2007-12-17 02:53:29.450000,-9.107,67.291,5.0,531.038687341
usp000g9xf,2008-06-17 20:57:04.270000,-9.32,67.165,5.0,505.360983528
usp000gshe,2009-01-12 23:07:08.380000,-10.228,66.311,5.0,369.858820994
usp000gxhq,2009-05-26 05:39:15.140000,-7.671,67.831,5.0,683.907111883
usp000gzzz,2009-08-05 06:28:31.880000,-8.764,67.497,5.2,572.982008898
usp000heue,2010-07-03 00:37:25.260000,-9.246,67.324,5.1,524.106026054
gcmtc201007030037a,2010-07-03 00:37:28,-9.75,66.25,5.1,398.191660838
usp000heuh,2010-07-03 01:37:30.720000,-9.378,67.014,5.1,488.464113244
usp000hgqm,2010-07-24 20:28:05.630000,-8.137,68.032,5.1,663.196106476
usp000hvkc,2011-03-09 20:16:30.960000,-9.159,67.407,5.1,537.239201601
usp000j5hj,2011-07-26 14:26:22.870000,-9.23,67.113,5.8,507.31454008
usp000j7w9,2011-09-10 18:53:04.010000,-8.831,67.559,5.3,573.260370725
usp000ju5t,2012-10-19 10:13:54.990000,-9.289,67.057,5.6,498.402301015
usb000iecu,2013-07-15 07:49:03.420000,-8.834,67.716,5.4,586.278007541
usb000rzg0,2014-08-02 10:33:26.440000,-9.1421,67.337,5.5,532.444857466
us20002edu,2015-05-11 17:42:02.020000,-7.7592,67.8257,5.613,676.390452805
us1000429g,2015-11-30 20:19:05.270000,-8.791,67.6967,5.5,587.681925853
us20009pjx,2017-06-25 03:01:59.140000,-9.5404,66.17,5.6,408.07649045
us1000bylw,2017-12-31 20:27:49.390000,-8.1161,68.0644,5.1,667.387949779
us2000k7im,2019-03-30 06:27:23.331000,-9.6924,66.5343,5.8,425.770680143
