id,time,lat,lon,mag,group
iscgem895851,1950-09-21 22:51:03,-9.369,66.535,5.9,-1
iscgem895853,1950-09-22 03:32:12,-9.348,66.138,5.9,-1
iscgem881195,1959-01-13 09:37:22,-8.939,67.239,5.9,-1
iscgem765745,1972-12-06 05:31:43,-9.207,67.351,5.8,-1
usp0000hmh,1976-07-29 21:44:49.600000,-9.354,67.069,5.451,-1
usp0000wzm,1978-10-12 20:03:15.700000,-8.935,67.666,5.5,-1
usp00014dd,1979-12-08 23:23:50.400000,-9.369,66.966,5.37,-1
usp0001fcf,1981-08-19 22:50:49.510000,-9.248,67.181,5.996,-1
usp0001gde,1981-10-11 11:14:45.360000,-7.856,68.409,5.686,-1
usp000247s,1984-05-08 19:34:04.500000,-8.639,67.991,5.37,-1
usp0003c7w,1988-01-20 20:50:46.520000,-9.201,67.12,5.5,-1
usp0003cq2,1988-02-03 20:24:53.960000,-9.208,66.978,5.7,-1
usp0003nrs,1988-11-10 17:11:30.640000,-10.244,66.424,5.1,-1
usp0003x8n,1989-07-12 02:41:39.250000,-8.129,68.355,5.8,-1
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,-1
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,-1
usp000733j,1995-09-08 16:03:37.580000,-9.16117760526,67.2986541723,5.6,1
usp00075wy,1995-10-28 17:39:54.420000,-8.96624786701,67.6064588291,5.624,1
usp0008xzt,1998-11-10 20:26:35.900000,-9.17909459417,67.4095687638,5.37,1
usp0008z30,1998-12-02 23:41:17.800000,-9.02287745016,67.5313492718,5.9,1
usp00098nn,1999-05-24 14:38:11.480000,-8.91777423355,67.6196498788,5.3,1
usp00099ce,1999-06-06 04:33:33.990000,-9.01863164334,67.5215456494,5.37,1
usp0009kcx,1999-12-28 07:30:33.990000,-8.65923640767,67.6894120449,5.0,1
usp000crxd,2004-04-07 14:49:52.530000,-9.29369107976,67.2188658275,5.3,1
usp000cwvf,2004-06-01 20:47:30.430000,-9.13622850747,67.4065813129,5.7,1
usp000czds,2004-07-02 11:57:09.630000,-8.95955772901,67.6193459639,5.7,1
usp000d6ez,2004-10-15 22:40:25.070000,-8.73341901616,67.835759023,5.0,1
usp000enfc,2006-07-12 14:44:45.960000,-8.8240329971,67.8476114989,5.7,1
usp000eupy,2006-10-08 11:56:54.150000,-9.01879516096,67.5215285263,5.3,1
usp000fj3e,2007-08-07 10:12:21.440000,-9.28540903758,67.1601351869,5.0,1
usp000ftxc,2007-12-06 10:25:45.990000,-9.33643099554,67.0766029844,5.4,1
usp000fuky,2007-12-17 02:53:29.450000,-9.15164106288,67.356413276,5.0,1
usp000g9xf,2008-06-17 20:57:04.270000,-9.18551445473,67.2766084159,5.0,1
usp000gshe,2009-01-12 23:07:08.380000,-9.70169148906,66.7091750205,5.0,1
usp000gxhq,2009-05-26 05:39:15.140000,-8.51863713053,67.8263190521,5.0,1
usp000gzzz,2009-08-05 06:28:31.880000,-8.99058439703,67.6653165526,5.2,1
usp000heue,2010-07-03 00:37:25.260000,-9.34193863921,67.0405659444,5.1,1
gcmtc201007030037a,2010-07-03 00:37:28,-9.31596403006,67.0242072147,5.1,1
usp000heuh,2010-07-03 01:37:30.720000,-9.3260643657,67.1072592463,5.1,1
usp000hgqm,2010-07-24 20:28:05.630000,-9.09721610873,67.6237487588,5.1,1
usp000hvkc,2011-03-09 20:16:30.960000,-9.14634901016,67.315150463,5.1,1
usp000j5hj,2011-07-26 14:26:22.870000,-9.18920374899,67.3800213694,5.8,1
usp000j7w9,2011-09-10 18:53:04.010000,-8.97234120023,67.5924837999,5.3,1
usp000ju5t,2012-10-19 10:13:54.990000,-9.29583862574,67.1416855682,5.6,1
usb000iecu,2013-07-15 07:49:03.420000,-8.96406116743,67.6129013035,5.4,1
usb000rzg0,2014-08-02 10:33:26.440000,-9.1682083261,67.2873396534,5.5,1
us20002edu,2015-05-11 17:42:02.020000,-8.40166887665,67.2970307325,5.613,1
us1000429g,2015-11-30 20:19:05.270000,-8.99806570444,67.5621666058,5.5,1
us20009pjx,2017-06-25 03:01:59.140000,-9.32838161986,67.0738328932,5.6,1
us1000bylw,2017-12-31 20:27:49.390000,-8.76351449993,67.8739536659,5.1,1
us2000k7im,2019-03-30 06:27:23.331000,-9.60366620109,67.1716578086,5.8,1
us6000c8av,2020-10-14 15:28:38.063000,-9.72715980048,66.715732721,5.1,1
us6000cs8g,2020-11-24 22:02:58.090000,-8.97608065404,67.5821920976,5.5,1
