id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,0.13,68.87039107
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000733j,1995-09-08 16:03:37.580000,-9.126,67.322,5.6,7527.25004291,0.1,70.34204088
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp00075wy,1995-10-28 17:39:54.420000,-8.957,68.076,5.624,7608.7969233,0.124,11.20483951
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp0008xzt,1998-11-10 20:26:35.900000,-8.861,67.157,5.37,7507.25344473,0.13,90.33863906
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp0008z30,1998-12-02 23:41:17.800000,-9.144,67.459,5.9,7542.40625493,0.4,55.18582886
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp00098nn,1999-05-24 14:38:11.480000,-8.183,68.053,5.3,7601.21635395,0.2,3.62427016
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp00099ce,1999-06-06 04:33:33.990000,-8.117,67.879,5.37,7581.65965151,0.13,15.93243228
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000crxd,2004-04-07 14:49:52.530000,-9.307,67.087,5.3,7502.80774672,0.2,94.78433707
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000cwvf,2004-06-01 20:47:30.430000,-9.037,67.253,5.7,7519.04094799,0.2,78.5511358
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000czds,2004-07-02 11:57:09.630000,-8.975,67.614,5.7,7558.21492962,0.2,39.37715417
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000enfc,2006-07-12 14:44:45.960000,-8.548,67.814,5.7,7577.27884334,0.2,20.31324045
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000eupy,2006-10-08 11:56:54.150000,-8.974,67.559,5.3,7552.17194329,0.2,45.4201405
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000ftxc,2007-12-06 10:25:45.990000,-9.365,66.909,5.4,7483.7331298,0.1,113.85895399
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000gzzz,2009-08-05 06:28:31.880000,-8.764,67.497,5.2,7543.90845811,0.3,53.68362568
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000heue,2010-07-03 00:37:25.260000,-9.246,67.324,5.1,7528.34022174,0.4,69.25186205
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000heuh,2010-07-03 01:37:30.720000,-9.378,67.014,5.1,7495.33785144,0.4,102.25423235
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000hgqm,2010-07-24 20:28:05.630000,-8.137,68.032,5.1,7598.61942284,0.4,1.02733905
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000hvkc,2011-03-09 20:16:30.960000,-9.159,67.407,5.1,7536.8107953,0.4,60.78128849
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000j5hj,2011-07-26 14:26:22.870000,-9.23,67.113,5.8,7505.08813622,0.3,92.50394757
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000j7w9,2011-09-10 18:53:04.010000,-8.831,67.559,5.3,7551.17755572,0.2,46.41452807
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usp000ju5t,2012-10-19 10:13:54.990000,-9.289,67.057,5.6,7499.38536585,0.1,98.20671794
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usb000iecu,2013-07-15 07:49:03.420000,-8.834,67.716,5.4,7568.43606517,0.1,29.15601862
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,usb000rzg0,2014-08-02 10:33:26.440000,-9.1421,67.337,5.5,7529.01143855,0.0,68.58064524
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,us20002edu,2015-05-11 17:42:02.020000,-7.7592,67.8257,5.613,7573.60320415,0.113,23.98887964
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,us1000429g,2015-11-30 20:19:05.270000,-8.791,67.6967,5.5,7566.02300142,0.0,31.56908237
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,7597.59208379,us1000bylw,2017-12-31 20:27:49.390000,-8.1161,68.0644,5.1,7602.05502037,0.4,4.46293658
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000733j,1995-09-08 16:03:37.580000,-9.126,67.322,5.6,7527.25004291,0.23,1.47164981
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp00075wy,1995-10-28 17:39:54.420000,-8.957,68.076,5.624,7608.7969233,0.254,80.07523058
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp0008xzt,1998-11-10 20:26:35.900000,-8.861,67.157,5.37,7507.25344473,0.0,21.46824799
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp00098nn,1999-05-24 14:38:11.480000,-8.183,68.053,5.3,7601.21635395,0.07,72.49466123
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp00099ce,1999-06-06 04:33:33.990000,-8.117,67.879,5.37,7581.65965151,0.0,52.93795879
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp0009kcx,1999-12-28 07:30:33.990000,-7.711,67.773,5.0,7567.51006648,0.37,38.78837376
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000crxd,2004-04-07 14:49:52.530000,-9.307,67.087,5.3,7502.80774672,0.07,25.913946
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000cwvf,2004-06-01 20:47:30.430000,-9.037,67.253,5.7,7519.04094799,0.33,9.68074473
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000czds,2004-07-02 11:57:09.630000,-8.975,67.614,5.7,7558.21492962,0.33,29.4932369
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000d6ez,2004-10-15 22:40:25.070000,-8.051,68.084,5.0,7603.81107934,0.37,75.08938662
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000enfc,2006-07-12 14:44:45.960000,-8.548,67.814,5.7,7577.27884334,0.33,48.55715062
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000eupy,2006-10-08 11:56:54.150000,-8.974,67.559,5.3,7552.17194329,0.07,23.45025057
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000fj3e,2007-08-07 10:12:21.440000,-9.211,67.093,5.0,7502.7552981,0.37,25.96639462
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000ftxc,2007-12-06 10:25:45.990000,-9.365,66.909,5.4,7483.7331298,0.03,44.98856292
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000fuky,2007-12-17 02:53:29.450000,-9.107,67.291,5.0,7523.71272364,0.37,5.00896908
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,7528.72169272,usp000g9xf,2008-06-17 20:57:04.270000,-9.32,67.165,5.0,7511.45417588,0.37,17.26751684
