id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0005dvw,1992-09-11 21:06:00.810000,-4.374,-104.65,5.6,11644.6568649,0.1,60.905539
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0006bzj,1994-05-03 09:39:13.910000,-3.705,-103.63,5.3,11532.7539596,0.4,50.9973663
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp00073fm,1995-09-16 22:49:14.500000,-4.044,-104.034,5.6,11576.9804262,0.1,6.7708997
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp00079v5,1995-12-30 03:26:10.980000,-4.387,-104.646,6.1,11644.1836573,0.4,60.4323314
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0007nzb,1996-08-23 21:56:06.080000,-4.088,-104.37,5.9,11614.1947421,0.2,30.4434162
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0007nzd,1996-08-23 22:18:57.050000,-3.92,-104.143,5.8,11589.3275177,0.1,5.5761918
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0008y7t,1998-11-15 04:51:42.230000,-4.075,-104.181,5.5,11593.2385634,0.2,9.4872375
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp0009ek1,1999-09-18 04:01:04.400000,-4.422,-104.444,5.6,11621.6889509,0.1,37.937625
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000ahgp,2001-06-26 12:33:52.030000,-4.07,-104.469,6.1,11625.2229188,0.4,41.4715929
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000akg8,2001-07-30 04:34:43.470000,-4.077,-103.918,5.6,11564.0359027,0.1,19.7154232
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000atq5,2001-11-29 17:06:58.930000,-4.289,-104.214,5.6,11596.4555003,0.1,12.7041744
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000cdyb,2003-11-26 17:32:51.660000,-4.129,-104.243,5.4,11600.0110617,0.3,16.2597358
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000dxsd,2005-08-21 09:49:50.080000,-3.999,-104.025,5.8,11576.0703109,0.1,7.681015
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000eh3x,2006-05-14 14:50:07.230000,-3.81,-103.604,5.3,11529.6776565,0.4,54.0736694
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000fgx4,2007-07-23 06:00:35.580000,-4.109,-104.235,5.5,11599.1641447,0.2,15.4128188
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000fgx5,2007-07-23 06:03:52.440000,-3.942,-104.029,5.7,11576.6259305,0.0,7.1253954
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000fnw1,2007-09-22 08:29:56.300000,-3.847,-103.753,5.3,11546.1571959,0.4,37.59413
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000gxfp,2009-05-24 09:57:11.080000,-4.05,-103.969,5.6,11569.7518124,0.1,13.9995135
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000jdma,2012-01-17 15:27:48.530000,-4.045,-104.146,5.4,11589.4133282,0.3,5.6620023
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000jx2v,2012-12-17 17:41:32.300000,-4.178,-104.495,5.9,11627.8826202,0.2,44.1312943
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usp000jx2w,2012-12-17 17:46:46.630000,-4.028,-104.177,5.7,11592.8892907,0.0,9.1379648
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,usc000tb93,2015-01-02 11:01:22.940000,-4.0948,-104.3043,5.3,11606.8868206,0.4,23.1354947
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,us10003kus,2015-10-07 02:30:21.560000,-3.932,-104.1362,5.4,11588.5490313,0.3,4.7977054
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,us20005haz,2016-04-12 03:22:47.710000,-3.7568,-103.9367,5.8,11566.7257132,0.1,17.0256127
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,11583.7513259,us200062qw,2016-06-08 08:31:39.780000,-4.061,-104.5531,5.9,11634.5785035,0.2,50.8271776
