id,time,lat,lon,mag,along_strike_distance
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,123.213634454
usp0005dvw,1992-09-11 21:06:00.810000,-4.374,-104.65,5.6,113.444967028
usp0006bzj,1994-05-03 09:39:13.910000,-3.705,-103.63,5.3,161.137966568
usp00073fm,1995-09-16 22:49:14.500000,-4.044,-104.034,5.6,132.037630248
usp00079v5,1995-12-30 03:26:10.980000,-4.387,-104.646,6.1,114.940863979
usp0007nzb,1996-08-23 21:56:06.080000,-4.088,-104.37,5.9,105.097615411
usp0007nzd,1996-08-23 22:18:57.050000,-3.92,-104.143,5.8,114.75462458
usp0008q3r,1998-06-18 19:03:48.170000,-2.941,-102.458,5.4,293.675365493
usp0008y7t,1998-11-15 04:51:42.230000,-4.075,-104.181,5.5,120.304639966
usp0009ek1,1999-09-18 04:01:04.400000,-4.422,-104.444,5.6,128.775972216
usp000ahgp,2001-06-26 12:33:52.030000,-4.07,-104.469,6.1,95.9638462398
usp000akg8,2001-07-30 04:34:43.470000,-4.077,-103.918,5.6,145.011938468
usp000atq5,2001-11-29 17:06:58.930000,-4.289,-104.214,5.6,133.033764008
usp000cdyb,2003-11-26 17:32:51.660000,-4.129,-104.243,5.4,118.609340815
usp000cfm2,2003-12-19 22:57:51.350000,-3.77,-102.635,5.6,271.410640531
usp000dxsd,2005-08-21 09:49:50.080000,-3.999,-104.025,5.8,130.436159601
usp000eh3x,2006-05-14 14:50:07.230000,-3.81,-103.604,5.3,166.496349404
usp000fd4z,2007-06-01 07:31:07.150000,-2.938,-102.538,5.2,285.005336325
usp000fgx4,2007-07-23 06:00:35.580000,-4.109,-104.235,5.5,117.870180663
usp000fgx5,2007-07-23 06:03:52.440000,-3.942,-104.029,5.7,127.13129654
usp000fmu7,2007-09-10 08:00:49.330000,-4.13,-103.419,5.0,197.39898588
usp000fmu9,2007-09-10 08:31:30.370000,-3.989,-103.028,5.1,233.407291292
usp000fnw1,2007-09-22 08:29:56.300000,-3.847,-103.753,5.3,151.714236631
usp000fnw2,2007-09-22 09:19:50.470000,-3.816,-103.672,5.1,159.36985271
usp000gw66,2009-04-15 14:04:29.960000,-4.16,-104.716,5.2,88.8544154852
usp000gxfp,2009-05-24 09:57:11.080000,-4.05,-103.969,5.6,138.612679011
usp000h43r,2009-11-16 13:35:24.380000,-4.187,-104.354,5.1,114.132985584
usp000hezy,2010-07-07 11:31:21.300000,-4.073,-103.734,5.0,162.925434975
usp000jdma,2012-01-17 15:27:48.530000,-4.045,-104.146,5.4,121.583520771
usp000jx2v,2012-12-17 17:41:32.300000,-4.178,-104.495,5.9,103.289902728
usp000jx2w,2012-12-17 17:46:46.630000,-4.028,-104.177,5.7,117.678055943
usc000tb93,2015-01-02 11:01:22.940000,-4.0948,-104.3043,5.3,110.988346824
us10003kus,2015-10-07 02:30:21.560000,-3.932,-104.1362,5.4,116.047541009
us20005haz,2016-04-12 03:22:47.710000,-3.7568,-103.9367,5.8,129.293926701
us200062qw,2016-06-08 08:31:39.780000,-4.061,-104.5531,5.9,89.1148192429
us20007cfa,2016-10-06 20:57:08.640000,-4.0427,-103.9169,5.6,143.29455701
us1000hr1c,2018-11-12 22:37:27.530000,-3.076,-103.3972,5.6,188.370052113
us600068n8,2019-11-07 14:21:48.609000,-3.961,-104.0255,5.4,128.422021658
