id,time,lat,lon,mag,group
iscgem892531,1952-02-28 00:34:06,-12.9,66.206,5.9,-1
iscgem892756,1952-04-12 01:27:11,-14.168,66.862,6.2,-1
iscgem880074,1960-08-15 06:59:00,-13.641,66.044,5.7,-1
iscgem791406,1970-10-25 12:00:35,-13.666,66.374,5.8,-1
usp00002zu,1973-08-04 19:50:35.900000,-13.745,66.187,5.451,-1
usp0000pja,1977-06-30 08:15:58.200000,-14.634,66.523,5.451,-1
usp0000xw5,1978-12-11 13:34:16.100000,-12.705,66.277,5.613,-1
usp0000xw8,1978-12-11 14:08:30.900000,-13.515,66.303,5.451,-1
usp0000xw9,1978-12-11 14:25:17.400000,-12.952,66.318,5.532,-1
usp0001has,1981-12-08 17:15:34.120000,-14.488,66.202,5.37,-1
usp0001q8h,1982-10-15 02:58:47.670000,-13.726,66.28,5.624,-1
usp00024g8,1984-05-19 05:06:51.170000,-13.708,66.174,5.37,-1
usp00024yh,1984-06-11 18:39:29.290000,-13.826,65.997,5.8,-1
usp0002sv9,1986-04-12 15:59:44.800000,-12.794,66.19,5.37,-1
usp0002sva,1986-04-12 16:05:06.520000,-12.878,66.394,5.451,-1
usp0003rdk,1989-01-31 07:08:29.770000,-14.645,66.461,5.3,-1
usp0003v7q,1989-05-14 09:40:46.570000,-13.733,66.248,6.0,-1
usp0003w9c,1989-06-14 22:37:11.360000,-14.013,65.945,5.2,-1
usp0003zn5,1989-09-16 05:49:25.770000,-12.708,66.386,5.37,-1
usp0004gnj,1990-11-08 14:56:00.480000,-13.809,66.221,5.2,-1
usp0005rzr,1993-04-30 10:15:16.370000,-13.437,66.718,5.37,-1
usp0006scc,1995-02-04 17:25:01.660000,-13.8165681018,66.0456023409,5.5,1
usp0007mx6,1996-07-31 10:29:10.400000,-13.3881669899,66.185796585,5.2,1
usp0008804,1997-09-25 14:20:48.930000,-13.762400243,66.1510996903,6.0,1
usp0009xvh,2000-08-04 03:11:49.970000,-13.4106166381,66.2001170772,5.37,1
usp0009xvj,2000-08-04 03:14:10.970000,-12.776,66.252,5.451,-1
usp000a7xe,2001-01-18 07:23:37.180000,-13.8402119862,66.0288844414,5.5,1
usp000ah2e,2001-06-22 13:05:10.430000,-13.7890863303,66.1303739885,5.0,1
usp000de25,2005-01-23 03:32:27.070000,-13.7969150955,66.0864134237,5.5,1
usp000drn0,2005-05-26 22:34:32.380000,-13.7486495759,66.1337879763,5.2,1
usp000fp77,2007-09-27 10:18:28.800000,-13.8447650167,65.9962175471,5.0,1
usp000g3rj,2008-04-12 08:50:17.530000,-15.0171353057,66.7941417412,5.5,1
usp000gshh,2009-01-13 01:04:42.640000,-13.7433008471,66.182338073,6.0,1
usp000gu60,2009-02-19 00:28:50.360000,-14.347,66.135,5.694,-1
usp000gv9f,2009-03-21 23:22:39.920000,-14.0721255325,66.1057392995,5.0,1
usp000gzh5,2009-07-21 19:55:45.020000,-13.8238901604,66.0385561666,5.2,1
usp000hk37,2010-09-03 04:19:13.680000,-13.7872680242,66.1097191537,5.7,1
usp000hkkd,2010-09-11 20:22:43.820000,-13.8249538124,66.0240471059,5.0,1
usp000j2ac,2011-05-27 20:27:38.100000,-13.3817307666,66.186485566,5.0,1
usp000j2ad,2011-05-27 20:28:46.880000,-13.3813000103,66.1864804873,5.37,1
usp000j3n2,2011-06-24 05:12:10.180000,-12.715,66.354,5.451,-1
usp000j3n3,2011-06-24 05:18:49.040000,-12.695,66.25,5.613,-1
usp000j3n4,2011-06-24 05:28:48.480000,-12.729,66.261,5.451,-1
usp000j5z9,2011-08-04 18:11:12.310000,-14.1460804829,66.1793789793,5.0,1
usp000jxu7,2013-01-05 04:00:44.670000,-13.7306772397,66.1938298351,5.532,1
usc000rkvf,2014-06-24 02:40:40.870000,-13.7502975332,66.1573620666,5.451,1
usc000rkxq,2014-06-24 05:55:10.580000,-13.8402126201,66.0288842516,5.451,1
us200025ml,2015-04-10 16:23:04.080000,-13.6973834492,65.7082236416,5.7,1
us2000b2x2,2017-10-09 00:28:24.530000,-12.7978,66.4262,5.37,-1
us2000b2xs,2017-10-09 03:46:44.160000,-13.3881702231,66.1858053283,5.1,1
us70008iqd,2020-03-30 17:54:40.558000,-13.762402071,66.1510975994,5.6,1
