id,time,lat,lon,mag,group
usp0006umd,1995-03-23 17:51:04.830000,15.0587576156,-46.376915373,5.451,1
usp000718t,1995-07-31 07:03:54.780000,15.0693553027,-46.3378054564,5.3,1
usp000aggm,2001-06-12 14:22:15.920000,14.9056527199,-45.255967692,5.4,1
usp000e5yg,2005-12-11 04:42:31.080000,15.2799548061,-45.7369427265,5.6,1
usp000e5yp,2005-12-11 06:26:35.030000,15.2815006248,-45.6665085221,5.7,1
usp000f74q,2007-03-21 23:07:46.190000,15.2718998553,-45.5955547825,5.4,1
usp000gsq9,2009-01-16 22:13:59.640000,14.8777124847,-45.258528494,5.4,1
usp000guvk,2009-03-11 23:50:33.500000,15.1676239752,-46.3868199852,5.0,1
usp000gvch,2009-03-24 12:34:54.360000,14.8163938948,-45.2553236645,5.2,1
usb000g6n2,2013-04-14 09:51:08.100000,15.0265461289,-46.3675883651,5.451,1
usb000ji6r,2013-09-05 04:01:36.360000,15.2471976323,-45.093414894,6.0,1
usb000jmx1,2013-09-10 00:35:15.910000,15.053123236,-46.3683513867,5.2,1
usb000pwdc,2014-04-23 18:21:09.490000,15.1802599312,-45.261609627,5.451,1
usb000spvk,2014-10-22 21:56:55.990000,15.3792740262,-45.3217650533,5.613,1
usc000tbns,2015-01-04 21:23:15.150000,14.8481314171,-45.2650872647,5.37,1
us20003lc6,2015-09-18 15:59:42.640000,15.2865992479,-45.7956677891,6.0,1
us10006ag5,2016-08-05 17:49:31.220000,14.9125482069,-45.2557394846,5.4,1
us1000htk7,2018-11-18 16:04:23.790000,15.2306424204,-45.2694802116,5.37,1
us2000izi5,2018-12-31 20:45:30.820000,15.2714430737,-46.1708583103,5.37,1
us1000jjfx,2019-03-20 19:13:03.480000,15.2675182634,-44.9124838156,5.37,1
us70003evi,2019-04-30 20:52:22.590000,15.3197715251,-46.2895053275,5.4,1
us600040yl,2019-06-14 20:44:54.048000,15.2738687327,-46.4272460343,5.2,1
us6000bfwf,2020-08-17 09:52:35.520000,15.2688206133,-45.6447330366,5.2,1
