id,time,lat,lon,mag,group
usp0002a5x,1984-12-18 02:59:28.940000,-48.239,106.509,5.624,-1
usp00038hc,1987-09-19 11:42:40.680000,-48.488,107.002,5.2,-1
usp00046t3,1990-03-18 22:30:07.600000,-48.688,106.802,5.5,-1
usp0005qpj,1993-04-05 06:47:17.050000,-48.753,106.461,5.37,-1
usp0006dr9,1994-06-04 21:51:52.040000,-48.4259753486,107.111473127,5.4,1
usp0006n82,1994-11-07 20:01:00.470000,-48.7602269572,106.848862407,5.562,1
usp000bucm,2003-04-04 20:16:54.780000,-48.7614230821,106.835708101,5.4,1
usp000h69t,2010-01-18 11:46:19.260000,-48.7248903682,106.878326216,5.3,1
usp000h69u,2010-01-18 11:49:00.400000,-48.7170457933,106.868919837,5.1,1
us1000bjr7,2017-12-01 05:20:28.480000,-48.7787565778,106.825502823,5.5,1
