id,time,lat,lon,mag,group
iscgem820509,1968-06-16 19:14:05,-53.827,8.766,5.9,-1
iscgem731814,1975-03-30 22:32:04,-54.21,8.509,6.3,-1
usp0000wat,1978-09-01 22:33:31.500000,-52.917,10.555,5.613,-1
usp0001vv8,1983-06-01 20:09:57.800000,-53.049,9.724,5.937,-1
usp0002psk,1986-01-05 08:08:07.740000,-53.163,9.638,5.9,-1
usp0002py5,1986-01-10 22:16:22.780000,-52.989,9.517,5.7,-1
usp0003zbg,1989-09-08 06:15:05.630000,-52.766,9.851,5.8,-1
usp0006mxf,1994-10-30 16:29:07.930000,-54.1,7.836,5.37,-1
usp0006yt5,1995-06-08 18:33:23.350000,-54.05,8.212,5.37,-1
usp000709e,1995-07-07 10:40:03.510000,-53.8623162541,8.89939891882,5.7,1
usp0007k3j,1996-06-22 00:32:13.470000,-53.3886729464,9.3016765508,6.4,2
usp0007q6d,1996-09-20 17:37:06.350000,-53.4388596123,8.76095183341,5.8,1
usp00083fa,1997-06-13 08:07:11.540000,-53.134,9.372,5.1,-1
usp0009wj9,2000-07-15 03:58:10.470000,-54.2021165058,8.08006930837,5.7,1
usp000dkrt,2005-03-31 05:19:52.500000,-54.064,7.781,5.3,-1
usp000egqt,2006-05-10 03:29:46.390000,-52.794,10.073,5.451,-1
usp000fha2,2007-07-28 16:13:43.590000,-54.2642116117,7.79178986003,5.5,1
usp000fha5,2007-07-28 17:46:28.720000,-54.157,7.908,5.1,-1
usp000ft5j,2007-11-23 19:18:47.400000,-53.6419793269,8.52649250643,5.5,1
usp000gnn8,2008-11-14 02:05:09.900000,-53.8875798163,8.48827446022,5.9,1
usp000gnna,2008-11-14 02:43:54.290000,-54.0933929965,8.21928116958,5.4,1
usp000gsbj,2009-01-07 23:02:45.540000,-53.057,9.543,5.0,-1
usp000hmnu,2010-10-06 00:49:13.790000,-52.822,10.516,5.0,-1
usp000jcqf,2011-12-27 18:32:51.260000,-53.5095226022,8.7207005798,5.532,1
usc000n5bs,2014-03-08 07:14:10.430000,-53.601521083,8.54309486451,5.4,1
usb000pkxl,2014-04-15 03:57:01.370000,-53.5791853483,9.15005831489,6.8,2
usb000s4bw,2014-08-19 18:19:57.880000,-53.501288133,8.68924783284,5.451,1
us10007tup,2017-01-18 02:02:26.380000,-53.4700304049,8.73655676519,5.532,1
us1000apql,2017-10-10 18:53:27.830000,-53.8251866628,8.85898348518,6.7,2
us1000apzz,2017-10-11 00:08:26.300000,-54.1984423873,8.07443563726,5.6,1
us2000cqnn,2018-01-28 16:03:03.970000,-53.0636478115,9.68900087326,6.6,2
us2000cqpu,2018-01-28 18:09:44.630000,-53.0477,9.7957,5.37,-1
us2000cqrf,2018-01-28 22:23:35.880000,-52.9896,10.2474,5.2,-1
us2000d0fu,2018-02-11 00:10:32.550000,-52.9736,10.3338,5.37,-1
us2000d5tm,2018-02-21 10:27:55.290000,-53.4245271083,9.02756417793,5.532,1
us1000jia7,2019-03-19 03:26:28.619000,-54.2331279019,7.97735000952,5.532,1
us70005hul,2019-09-18 11:54:58.913000,-54.2007,7.9115,5.2,-1
us70005lr7,2019-09-18 16:00:53.073000,-54.1457,7.8113,5.37,-1
us70006t6a,2020-01-01 16:34:59.178000,-53.0907,9.5001,5.37,-1
