id,time,lat,lon,mag,group
usp0005bag,1992-07-23 10:11:10.960000,-54.5494270995,144.162408062,5.6,1
usp0005rfn,1993-04-20 08:11:21.040000,-54.4190131702,144.152437219,5.9,1
usp0006q7a,1994-12-19 09:22:04.520000,-54.2614731525,144.151371638,5.7,1
usp0008uem,1998-09-05 01:43:27.120000,-54.5351133235,144.158978561,5.6,1
usp000ccrk,2003-11-13 02:49:02.210000,-54.3121454868,144.155732342,6.0,1
usp000d0b0,2004-07-17 12:17:53.150000,-54.6544096136,144.159202732,5.7,1
usp000e9rg,2006-02-08 05:04:53.580000,-54.5328045603,144.158502629,5.9,1
usp000gekc,2008-08-13 16:24:37.470000,-54.6691771437,144.158822546,5.3,1
usp000h9rc,2010-03-20 14:28:33.010000,-54.4201339315,144.142359735,5.4,1
usp000jjx0,2012-05-02 12:17:59.360000,-54.5229933664,144.160048182,5.8,1
usp000ju3z,2012-10-18 01:27:16.020000,-54.2512460609,144.150375784,5.9,1
usb000kcfh,2013-10-13 21:39:49.680000,-54.3647759688,144.153694941,5.451,1
us600088b5,2020-03-03 01:06:38.285000,-54.6197120399,144.169990729,5.37,1
