id,time,lat,lon,mag,group
iscgem874997,1962-07-03 18:13:37,-56.279,-142.672,6.0,-1
iscgem851771,1965-12-15 19:19:49,-56.722,-141.439,5.8,-1
iscgem793157,1970-08-24 12:30:18,-56.343,-142.65,6.4,-1
usp00000kv,1973-02-19 20:07:11.900000,-57.513,-140.954,5.694,-1
usp0000249,1973-06-10 07:16:19.500000,-57.7,-142.123,5.532,-1
usp0000346,1973-08-18 09:20:18.400000,-56.04,-143.793,5.532,-1
usp00009y8,1975-02-17 06:31:41.100000,-56.265,-143.371,5.613,-1
usp0000m16,1977-01-01 23:24:16.600000,-56.153,-142.925,5.694,-1
usp0000svh,1978-02-08 03:25:30.600000,-55.924,-144.573,5.613,-1
usp0000uw4,1978-06-03 04:57:12.500000,-57.096,-140.888,6.12,-1
usp0000y55,1978-12-27 16:24:25.500000,-56.543,-142.571,5.872,-1
usp000149y,1979-12-01 05:52:14.600000,-56.465,-142.451,5.775,-1
usp0001ngh,1982-07-19 14:53:55.900000,-56.61,-141.764,5.613,-1
usp0001r4c,1982-11-26 17:45:33.720000,-55.889,-144.236,5.856,-1
usp0001r4t,1982-11-27 02:50:46.130000,-55.841,-144.234,5.694,-1
usp0001r4u,1982-11-27 03:30:42.320000,-55.79,-144.405,5.451,-1
usp00020zz,1984-01-02 22:09:58.140000,-56.745,-142.655,6.4,-1
usp00026gm,1984-08-18 03:33:26.720000,-56.785,-141.034,5.5,-1
usp0002rae,1986-02-25 21:50:04.450000,-57.093,-141.964,5.5,-1
usp0002uua,1986-06-06 04:00:59.870000,-56.814,-140.957,5.6,-1
usp00031nc,1987-01-14 00:33:44.870000,-56.797,-141.233,5.5,-1
usp00035k1,1987-06-06 15:43:55.360000,-57.708,-142.509,5.872,-1
usp0003hjn,1988-07-04 03:35:52.390000,-56.752,-140.605,5.5,-1
usp0003uhk,1989-04-28 03:33:08.590000,-56.244,-142.035,5.686,-1
usp0004g9v,1990-10-29 06:42:41.710000,-55.981,-143.243,5.5,-1
usp0004gdp,1990-11-01 01:56:44.650000,-55.997,-143.195,5.2,-1
usp0004mes,1991-02-01 17:14:53.620000,-57.067,-141.111,5.7,-1
usp0004sbp,1991-05-31 22:17:35.790000,-56.837,-140.932,5.6,-1
usp0004tft,1991-06-27 11:55:15.150000,-56.319,-142.211,5.562,-1
usp0004tpz,1991-07-02 19:14:15.260000,-56.094,-142.279,5.37,-1
usp0004vd2,1991-08-15 09:57:28.770000,-56.284,-141.427,5.532,-1
