id,time,lat,lon,mag,along_strike_distance
us2000fyrv,2018-07-06 23:35:42.980000,-49.6301,126.0404,5.5,324.917215407
us2000a8zw,2017-08-17 03:00:19.040000,-48.7607,126.388,5.451,424.612711173
us10007s8e,2017-01-10 03:01:32.450000,-48.7795,126.4062,5.532,423.046890893
us10007euh,2016-12-02 00:14:40.010000,-49.6858,126.2493,5.4,324.502719089
us100068c5,2016-07-25 09:00:28.390000,-49.4245,126.3706,5.775,354.738650734
us20006hdi,2016-07-25 08:58:30.790000,-49.4848,126.2657,5.8,345.724154198
usb000siwy,2014-10-05 07:24:43.270000,-49.7979,125.7688,5.5,301.006963844
usp000je9c,2012-02-02 02:09:22.350000,-49.649,126.049,5.451,323.145886601
usp000h4hh,2009-11-28 17:40:26.500000,-49.772,126.574,5.2,325.414036277
usp000gw9m,2009-04-17 15:35:56.760000,-49.519,125.928,5.3,334.047574095
usp000gv8t,2009-03-21 15:55:42.130000,-48.734,126.561,5.0,431.528726548
usp000ft0y,2007-11-21 09:46:18.220000,-49.536,125.955,5.3,332.843949929
usp000eujw,2006-10-06 07:36:38.380000,-49.556,126.256,5.1,338.086739745
usp000dwny,2005-08-04 12:57:34.710000,-49.603,125.951,5.4,325.673005229
usp000cms2,2004-02-21 19:29:30.900000,-49.988,126.899,5.2,315.815455052
usp000a970,2001-02-07 01:58:07.300000,-50.04,126.922,5.2,311.8092639
usp0009t7g,2000-05-20 09:49:15.570000,-49.795,125.988,5.5,306.37930809
usp0009ekc,1999-09-18 07:51:53.550000,-49.167,126.69,5.3,390.06710793
usp0006e8t,1994-06-14 10:24:07.080000,-49.558,125.719,5.37,325.588916571
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,332.569214177
