id,time,lat,lon,mag,group
usp0006yeu,1995-06-01 16:02:04.250000,-46.5323535201,96.082951867,5.5,1
usp0007r2w,1996-10-08 01:36:53.930000,-45.768703262,96.0839517137,6.1,1
usp000adq9,2001-04-21 00:35:55.100000,-46.4577050709,96.1895197038,5.5,1
usp000bp5d,2003-01-25 12:48:03.760000,-45.9824278022,95.812945123,5.2,1
usp000c8sa,2003-09-27 05:54:52.880000,-45.8597521988,96.0077125405,5.4,1
usp000cyrd,2004-06-25 09:07:35.020000,-45.9571257784,95.8908405059,5.3,1
usp000dqsx,2005-05-14 11:13:20.490000,-45.7090371259,96.7860309715,5.2,1
usp000evsd,2006-10-22 08:55:16.760000,-45.7390898459,96.1191678399,6.1,1
usp000fe18,2007-06-14 22:57:14.470000,-46.4133319305,96.250791065,5.6,1
usp000fe2t,2007-06-15 17:29:21.710000,-46.4723255239,96.1647501053,5.6,1
usp000ft7p,2007-11-24 20:15:05.700000,-45.893124143,95.9764024296,5.1,1
usp000gv34,2009-03-17 16:12:22.160000,-45.9314925377,95.9344690033,5.0,1
usp000hu2g,2011-02-04 08:34:31.530000,-46.5219922886,96.1086738925,5.1,1
usc000jwxs,2013-09-10 14:53:17.280000,-45.9485927461,95.9872074056,5.37,1
usc000lpw9,2013-12-22 07:29:03.930000,-46.4109014174,96.2521501723,5.5,1
usc000lpxm,2013-12-22 10:03:09.760000,-46.4670148047,96.169502761,5.6,1
usc000lpyj,2013-12-22 12:58:37.010000,-46.5509667269,96.088953539,5.4,1
us10006mdj,2016-09-06 12:07:57.760000,-45.8618829835,96.0012170363,5.3,1
us1000d3ae,2018-03-12 06:13:49.900000,-46.4667244969,96.1677114334,5.6,1
us1000d8ny,2018-03-24 19:58:33.380000,-45.7783394384,96.0692674728,6.0,1
